seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
1207, East, 4C, 4C, true, 0, 0
1208, East, 2C, 2C, true, 0, 0
1209, East, 2C, 2C, true, 0, 0
1210, East, 2C, 2C, true, 0, 0
1211, East, 4C, 4C, true, 0, 0
1212, East, 3C, 3C, true, 0, 0
1213, East, 3C, 3C, true, 0, 0
1214, East, 6C, 6C, true, 0, 0
1215, East, 2C, 2C, true, 0, 0
1216, East, 6C, 6C, true, 0, 0
1217, East, 2C, 2C, true, 0, 0
1218, East, 4C, 4C, true, 0, 0
1219, East, 7C, 7C, true, 0, 0
1220, East, 2C, 2C, true, 0, 0
1221, East, QC, QC, true, 0, 0
1222, East, 5C, 5C, true, 0, 0
1223, East, JC, JC, true, 0, 0
1224, East, 2C, 2C, true, 0, 0
1225, East, 9C, 9C, true, 0, 0
1226, East, 3C, 3C, true, 0, 0
1227, East, 3C, 3C, true, 0, 0
1228, East, 8C, 8C, true, 0, 0
1229, East, 2C, 2C, true, 0, 0
1230, East, 2C, 2C, true, 0, 0
1231, East, 3C, 3C, true, 0, 0
1232, East, 3C, 3C, true, 0, 0
1233, East, 2C, 2C, true, 0, 0
1234, East, 3C, 3C, true, 0, 0
1235, East, 3C, 3C, true, 0, 0
1236, East, 9C, 9C, true, 0, 0
1237, East, 4C, 4C, true, 0, 0
1238, East, 2C, 2C, true, 0, 0
1239, East, 2C, 2C, true, 0, 0
1240, East, 2C, 2C, true, 0, 0
1241, East, 10S, 10S, true, 0, 0
1242, East, 8C, 8C, true, 0, 0
1243, East, 2C, 2C, true, 0, 0
1244, East, 8C, 8C, true, 0, 0
1245, East, 5C, 5C, true, 0, 0
1246, East, 3C, 3C, true, 0, 0
1247, East, 3C, 3C, true, 0, 0
1248, East, 5C, 5C, true, 0, 0
1249, East, 3C, 3C, true, 0, 0
1250, East, 2C, 2C, true, 0, 0
1251, East, 2C, 2C, true, 0, 0
1252, East, 4C, 4C, true, 0, 0
1253, East, 2C, 2C, true, 0, 0
1254, East, 4C, 4C, true, 0, 0
1255, East, 3C, 3C, true, 0, 0
1256, East, 6C, 6C, true, 0, 0
1257, East, 3C, 3C, true, 0, 0
1258, East, 5C, 5C, true, 0, 0
1259, East, 7C, 7C, true, 0, 0
1260, East, 9C, 9C, true, 0, 0
1261, East, 2C, 2C, true, 0, 0
1262, East, 2C, 2C, true, 0, 0
1263, East, 2C, 2C, true, 0, 0
1264, East, 8C, 8C, true, 0, 0
1265, East, 6C, 6C, true, 0, 0
1266, East, 3C, 3C, true, 0, 0
1267, East, 5C, 5C, true, 0, 0
1268, East, QC, QC, true, 0, 0
1269, East, 2C, 2C, true, 0, 0
1270, East, 3C, 3C, true, 0, 0
1271, East, 2C, 2C, true, 0, 0
1272, East, 3C, 3C, true, 0, 0
1273, East, 2C, 2C, true, 0, 0
