seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
2477, North, 2C, 2C, true, 1, 0
2478, North, 3C, 3C, true, 5, 0
2479, North, 5C, 5C, true, 3, 0
2480, North, 2C, 2C, true, 1, 0
2481, North, 3C, 3C, true, 6, 1
2482, North, 8C, 8C, true, 2, 0
2483, North, 2C, 2C, true, 1, 0
2484, North, 9C, 9C, true, 2, 0
2485, North, 8C, 8C, true, 4, 1
2486, North, 3C, 3C, true, 3, 0
2487, North, 3C, 3C, true, 1, 0
2488, North, 4C, 4C, true, 5, 1
2489, North, 5C, 5C, true, 1, 0
2490, North, 6C, 6C, true, 4, 1
2491, North, 2C, 2C, true, 1, 0
2492, North, 5C, 5C, true, 1, 0
2493, North, AC, AC, true, 1, 0
2494, North, 10C, 10C, true, 3, 0
2495, North, 5C, 5C, true, 3, 0
2496, North, 3C, 3C, true, 3, 0
2497, North, 2C, 2C, true, 1, 0
2498, North, 3C, 3C, true, 6, 1
2499, North, 8S, 5S, false, 6, 0
