seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
2473, South, 4C, 4C, true, 3, 1
2474, South, 3C, 3C, true, 3, 0
2475, South, 6C, 6C, true, 4, 1
2476, South, 7C, 7C, true, 4, 1
2477, South, 6C, 6C, true, 3, 0
2478, South, JC, JC, true, 3, 0
2479, South, 2C, 2C, true, 1, 0
2480, South, 3C, 3C, true, 2, 0
2481, South, 6C, 6C, true, 1, 0
2482, South, 2C, 2C, true, 1, 0
2483, South, 3C, 3C, true, 5, 0
2484, South, 2C, 2C, true, 1, 0
2485, South, 3C, 3C, true, 3, 0
2486, South, 5C, 5C, true, 3, 0
2487, South, 2C, 2C, true, 1, 0
2488, South, 2C, 2C, true, 1, 0
2489, South, 3C, 3C, true, 4, 0
2490, South, 3C, 3C, true, 6, 1
2491, South, 5C, 5C, true, 5, 1
2492, South, 2C, 2C, true, 1, 0
2493, South, 4C, 4C, true, 5, 0
2494, South, 2C, 2C, true, 1, 0
2495, South, 9C, 9C, true, 2, 0
2496, South, 8C, 8C, true, 3, 0
2497, South, 9C, 9C, true, 2, 0
2498, South, 5C, 5C, true, 2, 1
2499, South, 4C, 4C, true, 4, 1
